"Param","Unit"
"1,4-dichlorobenzene","mg/m^3"
"1,4-Dioxane","mg/m^3"
"12 Month Average","g/m^3"
"12 month mean","g/m^3"
"2 Chlorophenol","mg/m^3"
"2,3,4,6-Tetrachlorophenol","mg/m^3"
"2,4,5 Trichlorophenol","mg/m^3"
"2,4,6 Trichlorophenol","mg/m^3"
"2,4-DB","mg/m^3"
"2,4-Dichlorophenol","mg/m^3"
"2,4-Dichlorophenoxyacetic acid","mg/m^3"
"2,6-Dichlorophenol","mg/m^3"
"245trichlorophenoxyacetic acid","mg/m^3"
"3,4,5-Trichlorophenol","mg/m^3"
"75 Percentile Aluminium Acid Soluble","g/m^3"
"75 Percentile BOD","g/m^3"
"75 Percentile E-Coli","cfu/100ml"
"75 Percentile Total Nitrogen","g/m^3"
"75 Percentile Total Suspended Solids","g/m^3"
"80 Percentile BOD","g/m^3"
"80 Percentile BOD5","g/m^3"
"80 Percentile E-Coli","g/m^3"
"80 Percentile Total Nitrogen","g/m^3"
"80 Percentile Total Phosphorus","g/m^3"
"80 Percentile Total Suspended Solids","g/m^3"
"90 Percentile Aluminum Acid Soluble","mg/l"
"90 Percentile Ammoniacal Nitrogen","g/m^3"
"90 Percentile BOD Mass Loading","kg/d"
"90 Percentile BOD5","g/m^3"
"90 Percentile CBOD","g/m^3"
"90 Percentile Daily Flow","m^3/d"
"90 Percentile DRP","g/m^3"
"90 Percentile E-Coli","cfu/100ml"
"90 Percentile Enterococci","cfu/100ml"
"90 Percentile Faecal Coliforms","cfu/100ml"
"90 Percentile Grease","g/m^3"
"90 Percentile pH","s.u."
"90 Percentile Temperature","degC"
"90 Percentile Total Nitrogen","g/m^3"
"90 Percentile Total Phosphorus","g/m^3"
"90 Percentile Total Residual Chlorine","mg/l"
"90 Percentile Total Suspended Solids","g/m^3"
"95 Percentile Aluminium Total","g/m^3"
"95 Percentile Ammoniacal Nitrogen","g/m^3"
"95 Percentile Arsenic","g/m^3"
"95 Percentile BOD5","g/m^3"
"95 Percentile Cadmium","g/m^3"
"95 Percentile Chloride","g/m^3"
"95 Percentile Chromium 3","g/m^3"
"95 Percentile Chromium 6","g/m^3"
"95 Percentile Copper","g/m^3"
"95 Percentile Cyanide","g/m^3"
"95 Percentile Daily Flow","m^3/d"
"95 Percentile Dissolved Oxygen","mg/l"
"95 Percentile E-Coli","cfu/100ml"
"95 Percentile Enterococci","MPN/100ml"
"95 Percentile Faecal Coliforms","cfu/100ml"
"95 Percentile Grease and Oil","g/m^3"
"95 Percentile Lead","g/m^3"
"95 Percentile Mercury","g/m^3"
"95 Percentile Nickel","g/m^3"
"95 Percentile Nitrate Nitrogen","mg/l"
"95 Percentile pH","s.u."
"95 Percentile Silver","g/m^3"
"95 Percentile Sulphide","g/m^3"
"95 Percentile Total Chromium","g/m^3"
"95 Percentile Total Kjeldahl Nitrogen","g/m^3"
"95 Percentile Total Nitrogen","g/m^3"
"95 Percentile Total Phosphorus","g/m^3"
"95 Percentile Total Residual Chlorine","g/m^3"
"95 Percentile Total Suspended Solids","g/m^3"
"95 Percentile Zinc","g/m^3"
"Abs210","au"
"Abs360","au"
"Absorbance @ 254nm Filtered","#/cm"
"Absorbance @ 270nm Filtered","#/cm"
"Absorbance @ 270nm Unfiltered","#/cm"
"Absorbance @ 400nm Filtered","#/cm"
"Absorbance @ 400nm Unfiltered","#/cm"
"Absorbance @ 440nm Filtered","#/cm"
"Absorbance @ 440nm Unfiltered","#/cm"
"Absorbance @ 740nm Filtered","#/cm"
"Absorbance @ 740nm Unfiltered","#/cm"
"Abstraction Volume","m^3"
"Acenaphthene","mg/m^3"
"Acenaphthylene","mg/m^3"
"Acidity","g/m^3 CaCO3"
"Acidity to pH 8-3 (as CO2)","g/m^3"
"Air Flow","l/s"
"Air Nitrogen Dioxide Monthly Composite","ug/m^3"
"Air Sulphur Dioxide Monthly Composite","ug/m^3"
"Alachlor","mg/m^3"
"Aldrin","mg/m^3"
"Algal cover","Score"
"Alkalinity  Hydroxide","mg/l"
"Alkalinity (HCO3)","g/m^3"
"Alkalinity Bicarbonate (CaCO3)","g/m^3"
"Alkalinity Phenolpthalein","g/m^3 CaCO3"
"Alkalinity to pH 8-3 (as CO3)","g/m^3"
"Alkalinity Total","g/m^3"
"Alkalinity Total to pH 4-5","g/m^3"
"alpha - BHC","g/m^3"
"alpha-Chlordane","mg/m^3"
"Aluminium","g/m^3"
"Aluminium Acid Soluble","g/m^3"
"Aluminium Dissolved","g/m^3"
"Aluminium Reactive","g/m^3"
"Aluminium Total","g/m^3"
"Aluminium Total digested","g/m^3"
"Aluminium Total Recoverable","g/m^3"
"Ambient Pressure","kPa"
"Ammonia","g/m^3"
"Ammoniacal Nitrogen","g/m^3"
"Ammoniacal Nitrogen (pH adjusted)","g/m^3"
"Anaerobically mineralisable nitrogen","kg/ha"
"Anion (landfill)","mEq/l"
"Annual Mean Ammoniacal Nitrogen","g/m^3"
"Annual Mean BOD","g/m^3"
"Annual Mean Faecal Coliforms","cfu/100ml"
"Annual Mean Suspended Solids","g/m^3"
"Annual Mean Total Phosphorus","g/m^3"
"Anthracene","mg/m^3"
"Antimony","g/m^3"
"Antimony Total","g/m^3"
"ARAD Rock Type","%"
"Arsenic Acid Soluble","g/m^3"
"Arsenic Dissolved","g/m^3"
"Arsenic Total","g/m^3"
"Arsenic Total Recoverable","g/m^3"
"Ash in Suspended Solids","%"
"Ashed Solids","g/m^3"
"ASPM","ASPM"
"Atrazine","mg/m^3"
"Avaliable Phosphorus","ug/ml"
"Average Biochemical Oxgyen Demand","g/m^3"
"Average Suspended Solids","g/m^3"
"Average Total Nitrogen","g/m^3"
"Average Total Phosphorus","g/m^3"
"Barium","g/m^3"
"Barium Total","g/m^3"
"Barometric Pressure","mmHg"
