# Generated at 2024-04-22 01:10:24 (12:00) by AQUARIUS Time-Series 23.2.146.0
# UTC+12
# Period Selected: Entire Record
#
# Comment: Daily summation in general
# Description: daily_sum.json
# ReportTitle: Rainfall.Master@EN359
# 29fd19ef-7b23-461b-b50d-cb133abfc720 Rainfall.Master@EN359: Sum (1 Day)
#
# CSV data starts at line 12
#
TimeStamp,Rainfall@EN359
1977-09-10 00:00:00,0.613
1977-09-11 00:00:00,0
1977-09-12 00:00:00,0
1977-09-13 00:00:00,0
1977-09-14 00:00:00,0
1977-09-15 00:00:00,0
1977-09-16 00:00:00,7.356
1977-09-17 00:00:00,20.231
1977-09-18 00:00:00,0.613
1977-09-19 00:00:00,0
1977-09-20 00:00:00,0
1977-09-21 00:00:00,6.13
1977-09-22 00:00:00,6.13
1977-09-23 00:00:00,0
1977-09-24 00:00:00,31.876
1977-09-25 00:00:00,0.613
1977-09-26 00:00:00,12.873
1977-09-27 00:00:00,1.839
1977-09-28 00:00:00,0
1977-09-29 00:00:00,0
1977-09-30 00:00:00,8.582
1977-10-01 00:00:00,6.13
1977-10-02 00:00:00,0
1977-10-03 00:00:00,0
1977-10-04 00:00:00,0
1977-10-05 00:00:00,3.678
1977-10-06 00:00:00,0
1977-10-07 00:00:00,0
1977-10-08 00:00:00,1.226
1977-10-09 00:00:00,0
1977-10-10 00:00:00,0
1977-10-11 00:00:00,0
1977-10-12 00:00:00,0.613
1977-10-13 00:00:00,0
1977-10-14 00:00:00,4.291
1977-10-15 00:00:00,0
1977-10-16 00:00:00,0
1977-10-17 00:00:00,0
1977-10-18 00:00:00,0
1977-10-19 00:00:00,3.065
1977-10-20 00:00:00,0
1977-10-21 00:00:00,0
1977-10-22 00:00:00,3.678
1977-10-23 00:00:00,0
1977-10-24 00:00:00,0
1977-10-25 00:00:00,2.452
1977-10-26 00:00:00,1.226
1977-10-27 00:00:00,0
1977-10-28 00:00:00,0
1977-10-29 00:00:00,0
1977-10-30 00:00:00,44.749
1977-10-31 00:00:00,17.165
1977-11-01 00:00:00,1.839
1977-11-02 00:00:00,2.452
1977-11-03 00:00:00,2.452
1977-11-04 00:00:00,0
1977-11-05 00:00:00,0
1977-11-06 00:00:00,0
1977-11-07 00:00:00,17.164
1977-11-08 00:00:00,0
1977-11-09 00:00:00,0
1977-11-10 00:00:00,0
1977-11-11 00:00:00,3.065
1977-11-12 00:00:00,1.839
1977-11-13 00:00:00,5.368
1977-11-14 00:00:00,5.368
1977-11-15 00:00:00,0
1977-11-16 00:00:00,0
1977-11-17 00:00:00,0
1977-11-18 00:00:00,0
1977-11-19 00:00:00,0
1977-11-20 00:00:00,0
1977-11-21 00:00:00,0
1977-11-22 00:00:00,0
1977-11-23 00:00:00,4.392
1977-11-24 00:00:00,4.88
1977-11-25 00:00:00,0
1977-11-26 00:00:00,0
1977-11-27 00:00:00,0
1977-11-28 00:00:00,0
1977-11-29 00:00:00,0
1977-11-30 00:00:00,0
1977-12-01 00:00:00,0
1977-12-02 00:00:00,0
1977-12-03 00:00:00,0
1977-12-04 00:00:00,0
1977-12-05 00:00:00,0
1977-12-06 00:00:00,0
1977-12-07 00:00:00,0
1977-12-08 00:00:00,0
1977-12-09 00:00:00,7.716
1977-12-10 00:00:00,1.286
1977-12-11 00:00:00,0
1977-12-12 00:00:00,0
1977-12-13 00:00:00,3.86
1977-12-14 00:00:00,1.287
1977-12-15 00:00:00,0
1977-12-16 00:00:00,0
1977-12-17 00:00:00,6.433
1977-12-18 00:00:00,0
1977-12-19 00:00:00,0
1977-12-20 00:00:00,3.432
1977-12-21 00:00:00,0.516
1977-12-22 00:00:00,7.224
1977-12-23 00:00:00,1.032
1977-12-24 00:00:00,1.28999999985667
1977-12-25 00:00:00,5.934
1977-12-26 00:00:00,0
1977-12-27 00:00:00,0
1977-12-28 00:00:00,0
1977-12-29 00:00:00,0
1977-12-30 00:00:00,0
1977-12-31 00:00:00,15.15
1978-01-01 00:00:00,4.545
1978-01-02 00:00:00,0
1978-01-03 00:00:00,0
1978-01-04 00:00:00,0
1978-01-05 00:00:00,0
1978-01-06 00:00:00,0
1978-01-07 00:00:00,0
1978-01-08 00:00:00,8.08
1978-01-09 00:00:00,0
1978-01-10 00:00:00,0
1978-01-11 00:00:00,0
1978-01-12 00:00:00,14.1399999998597
1978-01-13 00:00:00,3.535
1978-01-14 00:00:00,0
1978-01-15 00:00:00,0
1978-01-16 00:00:00,4.04
1978-01-17 00:00:00,1.515
